Age,Gender,City,Occupation,Monthly_Income,Orders_Per_Week,Apps_Used,Delivery_Speed_Importance,Food_Quality_Importance,Willingness_Wait_Extra,Multi_Restaurant_Order,Diet_Preferences,Open_Personalized_Suggestions,Important_Features,Group_Order_Frequency,Spend_Per_Order,Max_Premium_Pay,Promotion_Motivation,Stopped_Using_App,Reason_Stopped,EcoFriendly_Packaging_Importance,Trust_AI_Recommendations,Comfortable_Sharing_Data,Emotional_Connection_App,Willingness_Try_App
32,Male,Pune,Homemaker,<20000,1-2,Talabat,5,5,4,Yes,Vegetarian,Yes,"Combo offers, Sustainability, Fresh food",Sometimes,250-500,<400,Cashback,No,NA,5,Yes,No,2,3
29,Male,Bangalore,Student,50001-80000,1-2,"Swiggy, Talabat",3,5,3,Yes,No preference,Yes,"Discounts, Sustainability, Ethical sourcing",Often,250-500,400-600,Loyalty points,No,NA,5,Maybe,Yes,4,5
33,Female,Chennai,Homemaker,50001-80000,1-2,"Others, Zomato, Talabat",3,4,5,Yes,No preference,Yes,"Ethical sourcing, Fresh food, Combo offers",Sometimes,250-500,400-600,Free delivery,No,NA,5,Yes,No,3,3
37,Female,Chennai,Self-employed,80001-120000,3-5,"Zomato, Talabat",4,5,1,No,Vegetarian,Yes,"Discounts, Fresh food, Sustainability",Rarely,>1200,400-600,Combo deals,No,NA,4,No,Yes,3,5
28,Male,Delhi,Homemaker,20000-50000,1-2,"Deliveroo, Others, Zomato",5,5,1,Yes,Vegetarian,Yes,"Fast delivery, Combo offers, Ethical sourcing",Often,250-500,601-800,Free delivery,Yes,Limited Food Choices,4,Maybe,Yes,2,4
28,Female,Mumbai,Employed - Part Time,20000-50000,1-2,Zomato,3,5,5,Yes,Keto,No,"Fast delivery, Discounts, Ethical sourcing",Rarely,250-500,400-600,Free delivery,Yes,Poor Customer Service,4,Yes,Yes,4,4
37,Male,Kolkata,Employed - Part Time,50001-80000,>5,"Others, Swiggy",3,5,4,No,Vegetarian,No,"Combo offers, Discounts, Sustainability",Rarely,<250,601-800,Free delivery,Yes,High Cost,5,Yes,Yes,3,5
33,Female,Hyderabad,Homemaker,50001-80000,3-5,"Swiggy, Others",5,4,3,Yes,No preference,Yes,"Fast delivery, Ethical sourcing, Fresh food",Rarely,250-500,<400,Loyalty points,No,NA,5,Maybe,No,2,4
27,Female,Hyderabad,Employed - Part Time,20000-50000,1-2,"Others, Zomato",4,5,4,Yes,Vegan,Yes,"Combo offers, Sustainability, Fast delivery",Often,<250,400-600,Free delivery,No,NA,3,Maybe,Yes,2,3
32,Female,Delhi,Self-employed,20000-50000,1-2,"Talabat, Zomato, Swiggy",2,3,5,Yes,Other,Yes,"Ethical sourcing, Fresh food, Sustainability",Sometimes,501-800,<400,Cashback,No,NA,2,Maybe,Yes,3,5
